source_file,line,surface,margin_family,current_state,expected_formula_or_token,observed_or_proven_value,status,action
src/main/java/qupath/ext/astra/PipelineLauncher.java,2106,settings profile load FileChooser,native file chooser geometry,uses OS/native JavaFX chooser,Native OS file chooser surface,not ASTRA-owned render tree,intentionally native,"Keep native unless ASTRA replaces profile loading with an owned dialog; no margin delta can be asserted."
src/main/java/qupath/ext/astra/PipelineLauncher.java,4810,run-complete dialog,ASTRA-owned completion dialog geometry,uses PipelineLauncher.showAstraMessage,shared ASTRA dialog shell,createAstraMessageDialog + installAstraStyles,source-classified,"Run-complete notification now uses the ASTRA-owned dialog helper; spacing follows the measured shared dialog shell."
src/main/java/qupath/ext/astra/RuntimeInstaller.java,58,runtime setup confirmation,ASTRA-owned confirmation dialog geometry,uses PipelineLauncher.createAstraSuccessConfirmationDialog,shared ASTRA confirmation shell,createAstraConfirmationDialog + installAstraStyles,source-classified,"Runtime setup confirmation now uses the ASTRA-owned confirmation helper; progress window remains tokenized separately."
src/main/java/qupath/ext/astra/PipelineLauncher.java,1743,header action tooltips,tooltip popup geometry,ASTRA installs JavaFX Tooltip,LauncherGeometryTokens tooltip insets mirrored in CSS,tooltip-geometry preview emits zero-delta tooltip-style popup inset diagnostics,zero-delta,"/private/tmp/astra-gui-exhaustive-margin-tooltip-v5/tooltip-geometry.csv"
src/main/java/qupath/ext/astra/PipelineLauncher.java,3394,parameter help tooltips,tooltip popup geometry,ASTRA installs JavaFX Tooltip,LauncherGeometryTokens tooltip insets mirrored in CSS,tooltip-geometry preview emits zero-delta tooltip-style popup inset diagnostics,zero-delta,"/private/tmp/astra-gui-exhaustive-margin-tooltip-v5/tooltip-geometry.csv"
src/main/java/qupath/ext/astra/PipelineLauncher.java,3456,dependent reason tooltips,tooltip popup geometry,ASTRA installs JavaFX Tooltip,LauncherGeometryTokens tooltip insets mirrored in CSS,tooltip-geometry preview emits zero-delta tooltip-style popup inset diagnostics,zero-delta,"/private/tmp/astra-gui-exhaustive-margin-tooltip-v5/tooltip-geometry.csv"
src/test/java/qupath/ext/astra/LauncherPreviewApp.java,220,tooltip popup preview geometry,tooltip popup geometry,JavaFX Tooltip scene is not stable in preview; ASTRA-owned tooltip-style popup is captured,Surface.TOOLTIP + addTooltipMeasurements,tooltip text left/top/right inset measured zero-delta against shared tooltip tokens,zero-delta,"/private/tmp/astra-gui-exhaustive-margin-tooltip-v5/tooltip-geometry.csv"
src/main/java/qupath/ext/astra/RuntimeInstaller.java,58,RuntimeInstaller progress window,runtime installer geometry,ASTRA-owned Stage uses geometry tokens,InstallerGeometry from LauncherGeometryTokens,root padding/gaps/window size are source-tokenized,source-classified,"Progress window content is factored through createInstallProgressRoot(...) and receives ASTRA stylesheet."
src/main/java/qupath/ext/astra/PipelineLauncher.java,1893,bottom run progress lane,bottom action row geometry,ASTRA-owned reserved text plus progress bar lane,LauncherGeometry.ACTION_PROGRESS_* tokens,progress lane is in createMainActionBar(...) before Cancel and Run,source-classified,"Progress lane is always managed/reserved, shows state text above the bar, and grows in the bottom action row without changing Cancel/Run margins."
src/test/java/qupath/ext/astra/LauncherPreviewApp.java,226,RuntimeInstaller progress preview geometry,runtime installer geometry,ASTRA-owned progress root is previewable,Surface.RUNTIME_INSTALLER + addRuntimeInstallerMeasurements,scene size/root padding/header/log gaps measured zero-delta against RuntimeInstaller tokens,zero-delta,"/private/tmp/astra-gui-exhaustive-margin-runtime-installer/runtime-installer-geometry.csv"
src/main/java/qupath/ext/astra/AnimatedGradientHeader.java,27,AnimatedGradientHeader visual geometry,header visual geometry,visual constants are named; clip radius uses shared geometry token,HEADER_CLIP_ARC = LauncherGeometryTokens.INTRA_PANEL_MARGIN,clip bevel source is shared; texture constants are visual-effect tokens,source-classified,"Keep visual-effect constants documented; any future margin/radius effect must derive from shared geometry tokens."
src/main/resources/qupath/ext/astra/astra-launcher.css,1,ASTRA launcher CSS layout literals,CSS layout literal provenance,150 layout-like CSS declarations classified,docs/gui-css-layout-literals.csv,all current CSS layout-like literals are classified,source-classified,"PipelineLauncherTest must fail if CSS layout declarations drift without provenance."
